"owner","field","file","occurrences"
"response","json","assets/js/api/users-api.js","7"
"response","ok","assets/js/api/users-api.js","5"
"response","status","assets/js/api/users-api.js","7"
"data","chevronSvg","assets/js/core/custom-select.js","1"
"data","labelSpan","assets/js/core/custom-select.js","7"
"data","panel","assets/js/core/custom-select.js","6"
"data","trigger","assets/js/core/custom-select.js","1"
"item","addEventListener","assets/js/core/custom-select.js","1"
"item","appendChild","assets/js/core/custom-select.js","2"
"item","classList","assets/js/core/custom-select.js","4"
"item","className","assets/js/core/custom-select.js","1"
"item","setAttribute","assets/js/core/custom-select.js","4"
"item","textContent","assets/js/core/custom-select.js","1"
"item","active","assets/js/layout.js","1"
"response","ok","assets/js/layout.js","1"
"response","text","assets/js/layout.js","1"
"item","admin_reject_reason","assets/js/mocks/course-reviews-mock.js","1"
"item","checklist","assets/js/mocks/course-reviews-mock.js","1"
"item","created_at","assets/js/mocks/course-reviews-mock.js","4"
"item","description","assets/js/mocks/course-reviews-mock.js","1"
"item","id","assets/js/mocks/course-reviews-mock.js","4"
"item","instructor","assets/js/mocks/course-reviews-mock.js","6"
"item","language","assets/js/mocks/course-reviews-mock.js","1"
"item","level","assets/js/mocks/course-reviews-mock.js","1"
"item","price","assets/js/mocks/course-reviews-mock.js","1"
"item","sale_price","assets/js/mocks/course-reviews-mock.js","1"
"item","sections","assets/js/mocks/course-reviews-mock.js","2"
"item","short_description","assets/js/mocks/course-reviews-mock.js","1"
"item","slug","assets/js/mocks/course-reviews-mock.js","4"
"item","status","assets/js/mocks/course-reviews-mock.js","5"
"item","submitted_at","assets/js/mocks/course-reviews-mock.js","1"
"item","thumbnail_url","assets/js/mocks/course-reviews-mock.js","1"
"item","title","assets/js/mocks/course-reviews-mock.js","6"
"item","total_duration_seconds","assets/js/mocks/course-reviews-mock.js","1"
"item","updated_at","assets/js/mocks/course-reviews-mock.js","7"
"course","category_ids","assets/js/mocks/mock-repository.js","1"
"course","instructor_id","assets/js/mocks/mock-repository.js","1"
"review","checklist","assets/js/mocks/mock-repository.js","1"
"review","lessons","assets/js/mocks/mock-repository.js","1"
"review","sections","assets/js/mocks/mock-repository.js","1"
"meta","current_page","assets/js/pages/categories.js","7"
"meta","last_page","assets/js/pages/categories.js","6"
"meta","per_page","assets/js/pages/categories.js","2"
"meta","total","assets/js/pages/categories.js","1"
"response","data","assets/js/pages/categories.js","5"
"response","error_code","assets/js/pages/categories.js","4"
"response","errors","assets/js/pages/categories.js","2"
"response","message","assets/js/pages/categories.js","10"
"response","meta","assets/js/pages/categories.js","1"
"response","success","assets/js/pages/categories.js","9"
"summary","active_categories","assets/js/pages/categories.js","1"
"summary","empty_categories","assets/js/pages/categories.js","1"
"summary","inactive_categories","assets/js/pages/categories.js","1"
"summary","root_categories","assets/js/pages/categories.js","1"
"summary","total_categories","assets/js/pages/categories.js","2"
"course","created_at","assets/js/pages/course-reviews.js","1"
"course","description","assets/js/pages/course-reviews.js","1"
"course","instructor","assets/js/pages/course-reviews.js","1"
"course","language","assets/js/pages/course-reviews.js","1"
"course","level","assets/js/pages/course-reviews.js","1"
"course","price","assets/js/pages/course-reviews.js","2"
"course","sale_price","assets/js/pages/course-reviews.js","3"
"course","short_description","assets/js/pages/course-reviews.js","1"
"course","slug","assets/js/pages/course-reviews.js","1"
"course","status","assets/js/pages/course-reviews.js","3"
"course","thumbnail_url","assets/js/pages/course-reviews.js","1"
"course","title","assets/js/pages/course-reviews.js","1"
"course","total_duration_seconds","assets/js/pages/course-reviews.js","1"
"course","updated_at","assets/js/pages/course-reviews.js","1"
"data","checklist","assets/js/pages/course-reviews.js","1"
"data","course","assets/js/pages/course-reviews.js","2"
